Year,Region,CR4
2014,Africa,83.83
2014,Asia,81.395
2014,China,70.42916666666667
2014,Europe,78.94333333333333
2014,India,90.23833333333333
2014,North America,83.55416666666666
2014,South America,74.60333333333332
2014,US,85.99916666666668
2014,Worldwide,79.925
2015,Africa,79.84666666666666
2015,Asia,72.80083333333334
2015,China,66.60333333333334
2015,Europe,75.5325
2015,India,83.22333333333334
2015,North America,83.78750000000001
2015,South America,73.82000000000001
2015,US,87.63666666666667
2015,Worldwide,73.56249999999999
2016,Africa,80.84666666666666
2016,Asia,70.37583333333333
2016,China,69.59583333333333
2016,Europe,75.1375
2016,India,75.7625
2016,North America,85.64916666666666
2016,South America,73.605
2016,US,89.78833333333334
2016,Worldwide,71.95
2017,Africa,65.05666666666667
2017,Asia,59.94166666666667
2017,China,64.0575
2017,Europe,78.20083333333334
2017,India,55.08583333333333
2017,North America,87.30333333333334
2017,South America,77.16999999999999
2017,US,91.00333333333333
2017,Worldwide,64.82583333333334
2018,Africa,64.72
2018,Asia,60.78916666666667
2018,China,66.625
2018,Europe,79.58666666666666
2018,India,59.48916666666666
2018,North America,87.20583333333332
2018,South America,79.81500000000001
2018,US,90.08833333333332
2018,Worldwide,64.58416666666666
2019,Africa,69.32916666666667
2019,Asia,64.04583333333333
2019,China,64.00416666666666
2019,Europe,84.385
2019,India,65.49249999999999
2019,North America,87.94333333333333
2019,South America,82.7375
2019,US,90.81250000000001
2019,Worldwide,71.23083333333332
2020,Africa,71.10166666666667
2020,Asia,68.58583333333334
2020,China,69.17583333333333
2020,Europe,87.82416666666667
2020,India,69.31166666666667
2020,North America,88.5325
2020,South America,83.38916666666667
2020,US,92.29416666666665
2020,Worldwide,76.09416666666667
2021,Africa,70.82583333333334
2021,Asia,66.53083333333333
2021,China,80.46416666666666
2021,Europe,88.63333333333333
2021,India,71.795
2021,North America,89.13833333333334
2021,South America,83.28416666666666
2021,US,92.00999999999999
2021,Worldwide,74.4675
2022,Africa,68.465
2022,Asia,68.62416666666667
2022,China,80.02916666666665
2022,Europe,87.2575
2022,India,71.36666666666666
2022,North America,90.55833333333332
2022,South America,86.57000000000001
2022,US,92.89333333333333
2022,Worldwide,74.37083333333334
2023,Africa,65.65833333333333
2023,Asia,65.07249999999999
2023,China,80.49916666666668
2023,Europe,85.1025
2023,India,67.82750000000001
2023,North America,90.31
2023,South America,85.88166666666667
2023,US,92.25500000000001
2023,Worldwide,71.89333333333333
2024,Africa,62.835833333333326
2024,Asia,61.99583333333333
2024,China,0.0
2024,Europe,82.85500000000002
2024,India,0.0
2024,North America,88.03166666666668
2024,South America,85.73166666666667
2024,US,0.0
2024,Worldwide,0.0
